                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.56773,                0.38813,                 2.2486,                0.93542,                0.97623,                0.97987,                 0.8166,                0.72042,                0.38843,                 3.3533,              0.0082378,              0.0082378,              0.0082378
                     91,                0.55973,                 0.3942,                 2.2537,                0.94272,                0.95034,                 0.9643,                0.79971,                0.69459,                0.40365,                 3.3636,               0.008218,               0.008218,               0.008218
                     92,                0.55657,                0.39391,                  2.254,                0.95394,                0.95648,                0.98595,                0.80937,                0.73595,                0.38406,                 3.3063,              0.0081982,              0.0081982,              0.0081982
                     93,                0.55684,                0.38403,                 2.2588,                0.97052,                0.93631,                0.96697,                 0.8113,                0.68189,                0.38995,                 3.3789,              0.0081784,              0.0081784,              0.0081784
                     94,                0.56612,                0.39086,                 2.2483,                0.95685,                0.97864,                0.98798,                0.82642,                0.70853,                 0.3608,                 3.3428,              0.0081586,              0.0081586,              0.0081586
                     95,                 0.5634,                0.38597,                 2.2536,                0.96012,                0.95112,                0.96211,                0.81107,                0.66538,                0.36521,                 3.3308,              0.0081388,              0.0081388,              0.0081388
                     96,                0.57958,                0.41078,                 2.3108,                 0.9526,                0.95903,                 0.9729,                0.81004,                0.71176,                 0.3789,                 3.3321,               0.008119,               0.008119,               0.008119
                     97,                0.56168,                0.38961,                 2.2741,                0.97777,                 0.9697,                0.98889,                0.81961,                0.71091,                0.35109,                 3.3956,              0.0080992,              0.0080992,              0.0080992
                     98,                0.54969,                0.38495,                 2.2397,                0.96125,                 0.9624,                0.99127,                 0.8225,                0.72124,                0.35452,                 3.3564,              0.0080794,              0.0080794,              0.0080794
                     99,                0.54983,                0.37684,                 2.2316,                0.95715,                0.95057,                0.95799,                0.79796,                0.71155,                0.43075,                 3.3598,              0.0080596,              0.0080596,              0.0080596
                    100,                0.55623,                0.38142,                 2.2418,                0.94294,                0.96139,                0.96422,                0.79527,                0.69919,                0.38738,                 3.3757,              0.0080398,              0.0080398,              0.0080398
                    101,                0.55664,                0.37242,                 2.2558,                0.96678,                0.95243,                  0.978,                0.81327,                0.69823,                0.38097,                 3.3331,                0.00802,                0.00802,                0.00802
                    102,                0.54754,                0.37485,                 2.2322,                0.93675,                0.98989,                0.97965,                0.81134,                0.70348,                0.34629,                 3.3152,              0.0080002,              0.0080002,              0.0080002
                    103,                0.55975,                0.37464,                 2.2285,                0.97965,                0.97075,                0.98619,                0.82714,                0.68247,                0.33226,                 3.3655,              0.0079804,              0.0079804,              0.0079804
                    104,                 0.5466,                 0.3761,                 2.2543,                0.96186,                0.95735,                0.96861,                0.79904,                 0.7199,                0.38258,                 3.3729,              0.0079606,              0.0079606,              0.0079606
                    105,                0.55002,                0.37664,                 2.2715,                0.94132,                0.97724,                0.97174,                0.80594,                0.71306,                0.37692,                 3.3701,              0.0079408,              0.0079408,              0.0079408
                    106,                0.56006,                 0.3932,                 2.2712,                0.96037,                0.96105,                0.97253,                0.81876,                0.68965,                0.38221,                 3.3811,               0.007921,               0.007921,               0.007921
                    107,                0.54587,                0.37612,                 2.2395,                0.96014,                0.97196,                0.97163,                0.80956,                0.68587,                 0.3473,                 3.3568,              0.0079012,              0.0079012,              0.0079012
                    108,                0.55682,                0.37333,                 2.2729,                0.94738,                0.96715,                 0.9805,                0.81585,                0.69873,                0.35229,                 3.3472,              0.0078814,              0.0078814,              0.0078814
                    109,                0.54706,                 0.3758,                 2.2159,                0.94352,                0.97978,                0.97857,                0.82371,                0.67125,                0.34014,                 3.3086,              0.0078616,              0.0078616,              0.0078616
                    110,                0.54111,                 0.3686,                 2.2242,                0.94991,                0.99074,                 0.9796,                0.82416,                0.70394,                0.34081,                   3.38,              0.0078418,              0.0078418,              0.0078418
                    111,                0.54621,                0.38394,                 2.2414,                0.95622,                0.97701,                0.99228,                0.82272,                0.71261,                0.33961,                 3.3558,               0.007822,               0.007822,               0.007822
                    112,                0.54634,                0.37795,                 2.2418,                0.97151,                0.96065,                0.98166,                0.81422,                0.71982,                0.35471,                 3.3492,              0.0078022,              0.0078022,              0.0078022
                    113,                0.53624,                0.36725,                  2.227,                0.95763,                0.96933,                0.97762,                 0.8141,                0.72615,                0.36031,                 3.3404,              0.0077824,              0.0077824,              0.0077824
                    114,                0.54409,                 0.3826,                 2.2397,                0.95578,                0.97336,                0.98681,                0.82076,                0.68086,                0.33973,                 3.3503,              0.0077626,              0.0077626,              0.0077626
                    115,                0.54687,                0.37905,                 2.2428,                 0.9759,                0.93672,                0.97764,                 0.8236,                0.66842,                0.36324,                 3.3842,              0.0077428,              0.0077428,              0.0077428
                    116,                0.53305,                0.36973,                 2.2598,                0.92923,                0.97875,                0.98751,                0.83711,                0.67639,                 0.3779,                 3.3598,               0.007723,               0.007723,               0.007723
                    117,                0.53447,                0.37386,                 2.2274,                0.96592,                0.95511,                0.98111,                0.81377,                0.70124,                0.35289,                  3.347,              0.0077032,              0.0077032,              0.0077032
                    118,                0.53615,                0.36456,                  2.225,                0.94898,                0.95975,                0.97365,                 0.8082,                0.69505,                0.36549,                 3.3406,              0.0076834,              0.0076834,              0.0076834
                    119,                0.54321,                 0.3699,                 2.2355,                0.96669,                0.97343,                0.96554,                0.81095,                0.67404,                 0.3551,                  3.369,              0.0076636,              0.0076636,              0.0076636
                    120,                0.52786,                 0.3629,                 2.2189,                0.96338,                 0.9631,                0.96676,                0.81623,                0.65966,                0.35575,                 3.3213,              0.0076438,              0.0076438,              0.0076438
                    121,                0.53901,                0.36487,                 2.2307,                0.97405,                0.95355,                0.97908,                0.81594,                0.69572,                0.35385,                 3.3874,               0.007624,               0.007624,               0.007624
                    122,                0.55124,                0.37482,                 2.2417,                0.96639,                0.96324,                  0.978,                0.82283,                0.66156,                0.33746,                 3.3411,              0.0076042,              0.0076042,              0.0076042
                    123,                0.52773,                0.36529,                 2.2282,                0.94358,                0.95763,                0.97404,                0.81674,                0.69028,                0.38837,                 3.3465,              0.0075844,              0.0075844,              0.0075844
                    124,                0.52216,                0.35391,                 2.1995,                0.93116,                0.98663,                0.98361,                0.82118,                0.68528,                0.35462,                 3.3288,              0.0075646,              0.0075646,              0.0075646
                    125,                0.53333,                0.36927,                  2.222,                 0.9692,                0.93753,                0.98938,                0.83049,                0.69026,                 0.3603,                 3.3094,              0.0075448,              0.0075448,              0.0075448
                    126,                0.53317,                 0.3604,                 2.2416,                0.94401,                0.98403,                0.98204,                0.81927,                0.68734,                 0.3379,                 3.3316,               0.007525,               0.007525,               0.007525
                    127,                 0.5341,                0.36911,                 2.2282,                0.96148,                0.97662,                0.99083,                0.83141,                0.67794,                0.32216,                  3.338,              0.0075052,              0.0075052,              0.0075052
                    128,                0.51926,                0.35742,                 2.2296,                0.96582,                0.95775,                0.98363,                0.82903,                0.69079,                0.35509,                 3.2992,              0.0074854,              0.0074854,              0.0074854
                    129,                0.52804,                0.34711,                 2.2365,                0.97481,                0.95703,                0.98008,                 0.8173,                0.71078,                 0.3596,                 3.3349,              0.0074656,              0.0074656,              0.0074656
                      1,                0.49202,                0.33789,                 2.2463,                0.97244,                0.97559,                 0.9839,                0.83102,                0.68412,                0.33139,                 3.3401,              0.0033069,              0.0033069,              0.0033069
                      2,                0.47955,                0.32377,                 2.1956,                0.95117,                      1,                0.99025,                0.83121,                0.69007,                 0.3263,                 3.3602,              0.0066271,              0.0066271,              0.0066271
                      3,                0.52195,                0.36106,                 2.2091,                0.95131,                0.99073,                0.98128,                0.80922,                0.74288,                0.34945,                 3.3375,               0.009934,               0.009934,               0.009934
                      4,                0.55168,                 0.3802,                 2.2303,                0.96153,                0.96831,                0.97499,                0.81271,                0.68555,                0.37185,                 3.3384,              0.0099406,              0.0099406,              0.0099406
                      5,                0.55372,                0.38811,                   2.23,                0.95952,                  0.983,                  0.977,                0.80877,                0.72486,                0.36123,                 3.3274,              0.0099208,              0.0099208,              0.0099208
                      6,                0.55316,                0.37662,                 2.2274,                0.97308,                0.97057,                0.98574,                0.82572,                0.69232,                 0.3639,                 3.4304,               0.009901,               0.009901,               0.009901
                      7,                0.54748,                0.36686,                 2.2212,                0.95586,                0.96352,                 0.9653,                0.80392,                0.71578,                0.39773,                 3.4553,              0.0098812,              0.0098812,              0.0098812
                      8,                0.55204,                0.37175,                  2.208,                0.95841,                0.98471,                0.98267,                0.79335,                0.76666,                0.34922,                 3.3317,              0.0098614,              0.0098614,              0.0098614
                      9,                0.55302,                0.36834,                 2.2363,                0.99063,                0.96829,                0.99279,                 0.8188,                0.73978,                0.32551,                  3.316,              0.0098416,              0.0098416,              0.0098416
                     10,                0.55697,                0.37404,                 2.2341,                 0.9365,                0.98776,                0.98201,                0.81691,                0.68262,                0.35895,                 3.4294,              0.0098218,              0.0098218,              0.0098218
                     11,                0.56196,                0.36706,                 2.2856,                0.95403,                0.99211,                0.98754,                0.80237,                0.79561,                0.36949,                 3.3679,               0.009802,               0.009802,               0.009802
                     12,                 0.5413,                0.36378,                 2.2215,                0.95019,                0.98776,                0.98728,                0.82238,                0.72594,                0.36029,                 3.3848,              0.0097822,              0.0097822,              0.0097822
                     13,                0.54058,                0.37548,                 2.2254,                0.95547,                0.97992,                0.99094,                0.83542,                0.68163,                0.34194,                 3.3466,              0.0097624,              0.0097624,              0.0097624
                     14,                0.54412,                0.36536,                 2.2213,                0.97771,                0.96481,                0.98522,                0.81306,                0.72737,                0.34927,                 3.4723,              0.0097426,              0.0097426,              0.0097426
                     15,                0.53773,                0.36281,                 2.2216,                0.98054,                 0.9758,                0.99391,                0.83503,                0.69031,                0.34087,                 3.3956,              0.0097228,              0.0097228,              0.0097228
                     16,                0.54533,                0.36512,                 2.2199,                0.96097,                0.97274,                0.98449,                0.80055,                0.77728,                0.38065,                 3.4228,               0.009703,               0.009703,               0.009703
                     17,                0.53143,                0.35016,                 2.1936,                0.93347,                0.98369,                0.98084,                0.82066,                0.69074,                0.36633,                 3.4452,              0.0096832,              0.0096832,              0.0096832
                     18,                0.53226,                0.36188,                 2.1963,                0.97183,                 0.9781,                0.97882,                0.81944,                0.70012,                0.35302,                 3.4042,              0.0096634,              0.0096634,              0.0096634
                     19,                0.52871,                0.35179,                 2.2153,                 0.9376,                0.96185,                0.96257,                0.80066,                0.73148,                0.40476,                 3.3021,              0.0096436,              0.0096436,              0.0096436
                     20,                0.54241,                0.35614,                 2.2221,                0.97506,                0.95475,                0.97506,                0.80662,                0.74047,                0.37487,                 3.3951,              0.0096238,              0.0096238,              0.0096238
                     21,                0.54098,                0.39305,                 2.2277,                0.96501,                0.94015,                0.97108,                0.80759,                0.67365,                0.37564,                 3.3564,               0.009604,               0.009604,               0.009604
