                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.67434,                0.44605,                 1.7872,                0.58418,                0.71552,                0.56628,                0.46524,                0.78403,                0.57429,                 2.0535,               0.001502,               0.001502,               0.001502
                     52,                0.65113,                 0.4325,                 1.7246,                0.58187,                0.80074,                0.59573,                0.49833,                0.74223,                0.55599,                 1.9822,              0.0014987,              0.0014987,              0.0014987
                     53,                0.65267,                0.43529,                 1.7334,                0.55973,                0.69378,                 0.5664,                 0.4659,                0.79159,                0.57323,                 2.0033,              0.0014954,              0.0014954,              0.0014954
                     54,                0.63179,                0.41615,                 1.7452,                0.54248,                0.69378,                0.56883,                0.47035,                0.73193,                0.57172,                 2.0024,              0.0014921,              0.0014921,              0.0014921
                     55,                 0.6433,                0.42235,                 1.7435,                0.57116,                0.63985,                0.58575,                0.47746,                0.80755,                0.65713,                  2.027,              0.0014888,              0.0014888,              0.0014888
                     56,                0.64479,                 0.4211,                 1.7283,                0.62317,                0.58447,                0.57821,                0.45105,                0.90606,                0.63468,                 2.1129,              0.0014855,              0.0014855,              0.0014855
                     57,                0.66484,                 0.4302,                 1.7452,                0.58509,                0.66378,                0.56577,                0.46295,                0.77632,                0.58196,                  1.999,              0.0014822,              0.0014822,              0.0014822
                     58,                0.62938,                0.40841,                 1.7425,                0.56649,                 0.6503,                0.56937,                0.46443,                0.81205,                 0.5638,                 2.0412,              0.0014789,              0.0014789,              0.0014789
                     59,                0.65017,                0.42541,                  1.765,                 0.6061,                0.66637,                 0.5955,                0.48617,                 0.8041,                0.60293,                 1.9894,              0.0014756,              0.0014756,              0.0014756
                     60,                 0.6421,                0.42535,                  1.758,                0.70761,                0.60275,                0.60471,                0.51262,                0.65467,                 0.5296,                  1.944,              0.0014723,              0.0014723,              0.0014723
                     61,                0.64289,                0.43796,                 1.7718,                0.58197,                0.74843,                0.59466,                0.51034,                0.66032,                0.57105,                 1.9624,               0.001469,               0.001469,               0.001469
                     62,                0.65847,                0.43341,                  1.762,                0.56749,                0.67204,                0.56523,                0.45082,                0.91189,                0.65641,                 2.0976,              0.0014657,              0.0014657,              0.0014657
